zip,campaign_id,name,is_active,state,state_id,cd,STUSAB,race,voter_person,volunteer_person
62846,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62851,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62856,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62860,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62864,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62865,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62872,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62874,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62877,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62884,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62888,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62890,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62891,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62893,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62894,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62896,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62897,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62898,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62901,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62902,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62903,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62905,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62906,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62907,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62912,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62914,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62915,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62916,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62917,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62918,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62920,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62921,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62922,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62923,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62924,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62926,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62927,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62932,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62933,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62939,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62940,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62941,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62942,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62948,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62949,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62951,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62952,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62956,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62957,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62958,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62959,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,1.0,0.0
62961,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62963,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62964,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62966,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62969,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62970,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62974,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62976,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62983,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62987,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62988,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62990,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62992,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62994,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62997,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
62999,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
63673,97,Brendan Kelly for Congress,0,Illinois,17,12,IL,Congress,,
93201,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93202,105,TJ Cox for Congress,0,California,06,21,CA,Congress,1.0,0.0
93203,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93204,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93206,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93210,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93212,105,TJ Cox for Congress,0,California,06,21,CA,Congress,2.0,0.0
93215,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93218,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93219,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93220,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93230,105,TJ Cox for Congress,0,California,06,21,CA,Congress,20.0,0.0
93234,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93239,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93241,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93242,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93245,105,TJ Cox for Congress,0,California,06,21,CA,Congress,5.0,0.0
93249,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93250,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93251,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93256,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93257,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93261,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93263,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93266,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93270,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93272,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93274,105,TJ Cox for Congress,0,California,06,21,CA,Congress,1.0,0.0
93280,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93304,105,TJ Cox for Congress,0,California,06,21,CA,Congress,1.0,0.0
93305,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93306,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93307,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93308,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93311,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93313,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93314,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93461,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93608,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93609,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93616,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93619,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93620,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93622,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93625,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93630,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93631,105,TJ Cox for Congress,0,California,06,21,CA,Congress,1.0,0.0
93640,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93648,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93652,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93654,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93656,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93657,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93660,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93662,105,TJ Cox for Congress,0,California,06,21,CA,Congress,1.0,0.0
93668,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93706,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93723,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
93725,105,TJ Cox for Congress,0,California,06,21,CA,Congress,,
