volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
05401,33325,0,1,1
05401,33326,0,2,2
05401,33334,0,3,3
05401,33339,0,1,1
05401,33432,0,1,1
05401,33433,0,1,1
05401,33458,0,1,1
05401,33483,0,1,1
05401,33544,0,1,1
05401,33556,0,1,1
05401,33579,0,1,1
05401,33602,0,1,1
05401,33604,0,2,2
05401,33605,0,1,1
05401,33614,0,1,1
05401,33615,0,1,1
05401,33675,0,1,1
05401,33701,0,2,2
05401,33706,0,1,1
05401,33710,0,1,1
05401,33713,0,1,1
05401,33830,0,1,1
05401,33884,0,1,1
05401,34284,0,1,1
05401,34432,0,1,1
05401,34711,0,1,1
05401,35244,0,1,1
05401,35755,0,1,1
05401,37110,0,1,1
05401,49008,0,1,1
05401,53548,0,1,1
05401,55403,0,1,1
05401,56401,0,1,1
05401,59601,0,7,7
05401,59602,0,2,2
05401,59638,0,1,1
05401,60457,0,1,1
05401,60647,0,2,2
05401,60654,0,1,1
05401,62208,0,1,1
05401,67213,0,1,1
05401,70119,0,6,6
05401,70122,0,5,5
05401,70125,0,1,1
05401,75201,0,1,1
05401,75202,0,3,3
05401,75219,0,1,1
05401,77007,0,1,1
05401,78701,0,1,1
05401,80401,0,1,1
05401,85718,0,1,1
05401,85737,0,1,1
05401,92240,0,1,1
05401,92264,0,1,1
05401,94110,0,1,1
05401,94117,0,1,1
05401,94590,0,1,1
05401,97201,0,1,1
05401,98103,0,1,1
05401,98275,0,1,1
05401,99841,0,1,1
05403,89121,0,1,1
05404,00617,0,2,2
05404,02657,0,2,2
05404,03104,0,1,1
05404,05401,0,4,4
05404,05406,0,2,2
05404,05465,0,2,2
05404,11215,0,2,2
05404,45202,0,1,1
05404,80211,0,2,2
05404,80521,0,1,1
05404,85286,0,1,1
05440,05408,0,1,1
05440,05440,0,5,5
05440,05446,0,1,1
05440,05450,0,1,1
05440,05458,0,1,1
05440,05459,0,1,1
05440,05478,0,1,1
05440,05602,0,1,1
05440,07840,0,1,1
05440,12919,0,1,1
05440,12979,0,1,1
05440,33815,0,1,1
05440,33825,0,2,2
05444,05401,0,1,1
05444,05444,0,2,2
05444,05464,0,4,4
05444,05489,0,2,2
05444,05495,0,1,1
05444,05655,0,1,1
05444,05656,0,2,2
05444,05661,0,1,1
05446,02114,0,3,3
05446,02116,0,3,3
05446,02170,0,2,2
05446,02452,0,3,3
05446,04350,0,3,3
05446,05406,0,3,3
05446,05446,0,2,2
05446,06470,0,3,3
05446,20002,0,3,3
05446,21030,0,1,1
05446,28277,0,1,1
05446,36116,0,3,3
05446,53913,0,3,3
05489,05477,0,1,1
05491,03235,0,1,1
05492,05470,0,3,3
05492,05661,0,3,3
05492,05753,0,1,1
05492,87059,0,1,1
05602,02115,0,1,1
05602,03750,0,1,1
05602,05359,0,1,1
05602,05457,0,1,1
05602,05602,0,3,3
05602,05641,0,1,1
05602,05671,0,1,1
05602,05701,0,1,1
05602,27574,0,1,1
05602,33351,0,1,1
05602,39073,0,1,1
05602,43227,0,1,1
05602,55405,0,1,1
05602,90067,0,1,1
05602,94928,0,1,1
05641,05148,0,1,1
05641,05257,0,1,1
05641,05301,0,1,1
05641,05401,0,1,1
05641,05461,0,1,1
05641,05489,0,1,1
05641,05602,0,1,1
05641,05641,0,3,3
05641,48915,0,1,1
05641,81007,0,1,1
05641,90806,0,1,1
05641,91401,0,1,1
05641,91406,0,1,1
05641,91501,0,1,1
05641,91505,0,1,1
05641,91604,0,1,1
05753,02115,0,2,2
05753,02135,0,1,1
05753,02474,0,1,1
05753,02482,0,1,1
05753,02852,0,1,1
05753,02886,0,1,1
05753,05072,0,2,2
05753,05403,0,3,3
05753,05405,0,1,1
05753,05443,0,1,1
05753,05735,0,1,1
05753,05753,0,12,12
05753,06457,0,1,1
05767,04240,0,1,1
05767,05443,0,1,1
05767,05641,0,1,1
05767,18018,0,1,1
05767,19460,0,1,1
05767,20910,0,1,1
05767,43515,0,1,1
06040,11427,0,3,3
06040,19147,0,2,2
06473,06410,0,2,2
06473,06450,0,2,2
06473,06473,0,2,2
06473,06511,0,2,2
06473,07618,0,2,2
06473,20910,0,2,2
06473,27262,0,2,2
06473,46530,0,2,2
06473,75243,0,2,2
06473,78704,0,2,2
06473,93103,0,2,2
07003,02420,0,2,2
07003,07003,0,6,6
07003,07013,0,5,5
07003,07014,0,5,5
07003,07026,0,3,3
07003,07028,0,2,2
07003,07029,0,4,4
07003,07042,0,9,9
07003,07043,0,11,11
07003,07044,0,3,3
07003,07052,0,3,3
07003,07076,0,1,1
07003,07081,0,2,2
07003,07083,0,3,3
07003,07090,0,2,2
07003,07102,0,1,1
07003,07203,0,3,3
07003,07430,0,2,2
07003,07463,0,4,4
07003,07512,0,2,2
07003,07601,0,2,2
07003,07628,0,3,3
07003,07748,0,2,2
07003,08002,0,3,3
07003,08530,0,3,3
07003,08618,0,3,3
07003,08735,0,1,1
07003,08736,0,2,2
07003,10901,0,2,2
07003,12561,0,2,2
07003,19610,0,2,2
07003,19808,0,3,3
07003,22901,0,2,2
07003,27858,0,2,2
07003,30004,0,3,3
07003,31522,0,3,3
07003,33428,0,2,2
07003,91324,0,3,3
07003,91501,0,2,2
07003,92866,0,3,3
07003,95765,0,3,3
07003,97220,0,1,1
07006,07002,0,1,1
07006,07003,0,1,1
07006,07006,0,3,3
07006,07013,0,1,1
07006,07078,0,2,2
07006,07305,0,2,2
07006,07424,0,2,2
07006,07442,0,1,1
07006,07871,0,1,1
07006,07885,0,1,1
07006,07920,0,1,1
07006,07928,0,1,1
07006,10019,0,1,1
07006,19454,0,1,1
07006,21146,0,1,1
07006,22152,0,2,2
07006,28461,0,1,1
07006,32963,0,1,1
07006,98107,0,1,1
07009,07009,0,1,1
07016,00044,0,1,1
07016,02004,0,1,1
07016,02466,0,1,1
07016,04730,0,1,1
07016,05251,0,2,2
07016,06032,0,2,2
07016,06095,0,2,2
07016,06430,0,1,1
07016,07003,0,7,7
07016,07004,0,2,2
07016,07005,0,3,3
07016,07006,0,2,2
07016,07009,0,4,4
07016,07010,0,3,3
07016,07011,0,1,1
07016,07013,0,6,6
07016,07016,0,14,14
07016,07020,0,4,4
07016,07021,0,7,7
07016,07024,0,6,6
07016,07028,0,5,5
07016,07030,0,1,1
07016,07031,0,1,1
