"statetownid","x","y","pc11_state_id","pc11_town_id","polemp_all","emp_all","polemp_051","polemp_052","polemp_061","polemp_062","polemp_071","polemp_072","polemp_081","polemp_089","polemp_091","polemp_099","polemp_101","polemp_104","polemp_105","polemp_106","polemp_110","polemp_120","polemp_131","polemp_139","polemp_141","polemp_151","polemp_170","polemp_191","polemp_192","polemp_201","polemp_202","polemp_203","polemp_210","polemp_221","polemp_222","polemp_231","polemp_239","polemp_241","polemp_242","polemp_243","polemp_251","polemp_252","polemp_259","polemp_261","polemp_262","polemp_263","polemp_264","polemp_266","polemp_271","polemp_272","polemp_273","polemp_274","polemp_275","polemp_279","polemp_281","polemp_282","polemp_291","polemp_292","polemp_293","polemp_302","polemp_303","polemp_304","polemp_309","polemp_325","polemp_351","polemp_352"
"01005415",74.7607359288151,33.0804270532281,"01","005415",62,295,0,0,0,0,0,0,23,0,0,0,0,0,1,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005416",74.8216346167023,33.091156759266,"01","005416",14,384,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005963",74.7793390394751,32.8160374354488,"01","005963",35,1357,0,0,0,0,0,0,0,0,0,2,0,1,7,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"01005964",74.7710976589701,32.7828575429664,"01","005964",97,1842,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,14,2,11,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"01005965",74.8805731142888,32.6422105923103,"01","005965",22,249,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005966",74.8890590054255,32.7834658151833,"01","005966",78,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"01005967",74.8438350476087,32.6460286243466,"01","005967",2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005968",74.7946610728057,32.6295019758319,"01","005968",87,754,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,16,0,0,0,10,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"01005969",74.7847550689712,32.6336175380484,"01","005969",25,365,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005970",74.7660659954142,32.6508241470827,"01","005970",97,1521,0,0,0,0,0,0,0,0,0,0,0,0,47,7,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"01006176",74.7453611027386,32.5996452418127,"01","006176",17,274,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01006177",74.7821271760778,32.6018095500072,"01","006177",96,284,0,0,0,0,0,0,0,0,0,0,2,3,83,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01006178",74.7380313616239,32.5845723362771,"01","006178",13,120,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01006671",75.0039328836517,32.5876688129151,"01","006671",9,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"01006672",74.9056621329834,32.6363298051525,"01","006672",55,482,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01800001",74.1930988948843,34.4630095635103,"01","800001",397,4280,0,0,0,0,0,0,0,0,0,0,54,0,1,1,10,0,0,0,222,2,1,0,1,0,0,0,0,2,0,5,20,0,0,0,1,0,23,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14
"01800002",74.2393266276517,34.3365582119946,"01","800002",352,3068,0,0,0,0,0,0,0,0,0,0,39,0,0,3,0,0,22,0,184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8
"01800003",74.464365694629,34.2866086534824,"01","800003",1159,9603,7,20,6,2,0,0,0,0,0,0,49,0,6,24,60,0,30,192,368,4,4,1,0,0,21,0,3,15,0,0,79,124,16,27,2,0,10,0,0,0,0,0,48,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,15
"01800004",74.4113762697974,34.3046949705049,"01","800004",98,776,5,0,0,0,0,0,0,0,0,2,4,0,0,5,0,0,0,16,38,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"01800005",74.5650945797266,34.1597843171775,"01","800005",262,1715,20,36,2,0,0,0,0,6,0,4,11,0,7,6,0,0,39,42,64,0,0,0,1,0,0,0,0,0,0,0,0,16,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"01800006",74.357686093207,34.2081219840716,"01","800006",1359,11018,12,18,0,0,0,0,175,0,0,0,54,20,6,2,0,0,10,378,359,0,0,0,0,0,0,0,0,21,0,0,17,86,24,73,2,0,0,0,0,0,0,0,60,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,18,13
