"indiaid_from","x_from","y_from"
1001,80.541931256199,21.860207177201
1002,81.5912921327591,19.2495568617649
1003,78.0012885666833,21.7924264075898
1004,78.7783109439125,26.3589203286911
1006,82.5016194185906,22.3460029467029
1007,79.7747997239095,24.740070568657
1008,78.9857233223076,22.0361517003026
1009,79.6373866014796,23.7604198211618
1010,78.6230937879451,25.7799434693899
1011,76.5225631942942,22.6730811072201
1012,75.1658231642011,22.4605948536656
1013,81.3262684408928,21.2699472931999
1014,76.5886909856514,21.6980381906714
1015,77.5804160384258,24.4866477348507
1016,78.2042790575492,25.9519305222523
1017,77.8104895976487,22.3825934335758
1018,75.8510707973207,22.6422489497797
1019,80.3068377401232,23.4260918900762
1020,74.5806508135637,22.5706754326767
1021,80.9044334497148,22.6980327772244
1022,75.3847749874559,24.2977156253755
1023,77.4650446701381,25.9708170801682
1024,79.2181689406466,22.8482382992121
1025,80.285034425127,24.3914367563064
1026,83.8040465259796,22.5041891757645
1027,82.4688911436986,21.0560775578066
1028,78.2058693529669,23.1269375514942
1029,76.827719297845,23.7777147453678
1031,75.1638109202848,23.4408256759464
1032,81.7012976132049,24.7534567768621
1033,78.8460847609134,23.7704198658452
1034,83.0817980686902,23.4226491275204
1035,80.9051187054448,24.5238535313591
1036,77.2871726203731,23.0446036155007
1037,79.828071296425,22.2550131031149
1038,81.4736220515149,23.4427836381165
1039,76.4205876337279,23.499370232414
1040,77.8969992998257,25.261773856943
1041,82.2903497552655,24.2175144604213
1042,79.0972202672201,24.9406786915518
1043,75.7452538509701,23.2438280302624
1044,77.9126709476868,23.7965245848869
1045,75.5104554746184,21.8131245258476
1101,74.6756845326203,19.1780533458738
1102,77.2663346149502,20.4687303304474
1103,77.7004132662758,21.1356256062764
1104,75.585542528947,19.8940828672805
1105,75.9185050932578,18.8966248663933
1106,80.2339803588224,21.1301807202132
1107,76.4884144008152,20.4408461008674
1108,80.1320161869495,19.9114160401726
1109,74.4651228145199,21.2620252818582
1111,72.9087058720534,19.1619718614267
1112,75.5373536304589,20.8699836534144
1114,74.0676004469577,16.4665480603316
1116,79.2818382977028,21.1402428843219
1117,77.7475916705334,19.0735323021572
1118,74.0725165248322,20.2185530982996
1119,73.5058648278816,16.8780696382959
1120,76.4887350061957,18.2458363980085
1121,76.9201833675161,19.421334478527
1122,74.0181251435733,18.5641743623287
1123,73.1878048330837,18.4926796659991
1124,74.7818121551507,17.0838713723445
1125,74.1214161098787,17.6499929703482
1126,73.4890913372686,15.9851195549112
1127,75.5284495803075,17.7586885608334
1128,73.136987453984,19.6146896594434
1129,78.7590430190342,20.7491072149496
1130,78.3403788225659,20.0290629848291
1201,93.8812006908489,24.5954066722443
1202,93.528635451671,24.3118960909235
1203,93.9739237663355,24.8414453658334
1204,94.1430223896843,25.3142859378048
1205,93.620399648814,25.0181701242718
1206,94.1545123583025,24.2761282150951
1207,94.047427328521,24.5510067430815
1208,94.4739804810916,25.085643266525
1301,90.634956882635,25.7773185136771
1302,91.8628735087635,25.5900044608292
1303,92.4436189931215,25.3761721598982
1304,90.2941922098318,25.4979668843797
1305,91.2476312009843,25.5406297252265
1401,93.9063234113602,25.7063558593396
1402,94.59905703966,26.5379179794935
1403,95.1261170593581,26.8317977511423
1404,94.6163635299442,25.7454835903504
1405,94.9290309192631,26.2863024047264
1406,94.3191723803921,26.2179755932377
1407,94.6356795343557,26.132206882552
1501,83.4608583682897,20.78235270797
1502,86.7991639706138,21.3283916725351
1503,86.1302112592343,20.5513303525396
1504,85.1536127751846,20.9189759492901
1505,84.5183599068395,19.5137119907069
1506,83.0793975226074,20.0466133583645
1507,85.6778588241955,21.5610660188906
1508,82.9342894822249,19.0367942159799
1509,86.3834723307711,21.9199103106541
1510,84.0819757416499,20.2667147266917
1511,85.3889082009104,20.06512391432
1512,84.1232153068267,21.4335809243279
1513,84.6308978208027,22.0999402040428
1601,74.9244680481026,31.5215352562164
1602,75.2311493419935,30.1451932297992
1604,75.4604766383523,32.002796452246
