id,state,district,x,y
1705,Rajasthan,Bharatpur,77.51285,26.97845
1706,Rajasthan,Bhilwara,74.82461,25.38924
1707,Rajasthan,Bikaner,73.17214,28.16581
1708,Rajasthan,Bundi,75.86037,25.39767
1709,Rajasthan,Chittaurgarh,74.75841,24.52917
1710,Rajasthan,Churu,74.7053,28.21951
1712,Rajasthan,Dungarpur,73.91156,23.67334
1713,Rajasthan,Gangangar,74.09862,29.30311
1714,Rajasthan,Jaipur,75.97371,26.88265
1715,Rajasthan,Jaisalmer,70.99247,27.0859
1716,Rajasthan,Jalor,72.36028,25.07969
1717,Rajasthan,Jhalawar,76.30516,24.27206
1718,Rajasthan,Jhunjhunun,75.65165,28.01787
1719,Rajasthan,Jodhpur,72.94178,26.70949
1720,Rajasthan,Kota,76.55582,24.99479
1721,Rajasthan,Nagaur,74.31233,27.01764
1722,Rajasthan,Pali,73.64944,25.65506
1723,Rajasthan,Sawai Madhopur,76.79748,26.34342
1724,Rajasthan,Sikar,75.43742,27.55956
1725,Rajasthan,Tonk,75.76411,26.07556
1726,Rajasthan,Sirohi,72.90612,24.71479
1727,Rajasthan,Udaipur,73.91913,24.55246
1801,Sikkim,East District,88.67121,27.26778
1802,Sikkim,North District,88.52412,27.74053
1803,Sikkim,South District,88.37588,27.2821
1804,Sikkim,West District,88.16231,27.32951
1901,Tamil Nadu,Chengaianna,79.93724,12.90973
1902,Tamil Nadu,Coimbatore,77.29972,11.06883
1905,Tamil Nadu,Kanniyakumari,77.3603,8.298418
1906,Tamil Nadu,Madras,80.23929,13.0694
1907,Tamil Nadu,Madurai,77.80365,10.13599
1908,Tamil Nadu,Nilgiris,76.65102,11.44562
1909,Tamil Nadu,North Arcot (Ambedkar),79.08936,12.62728
1913,Tamil Nadu,Ramanathapuram,78.39706,9.603162
1914,Tamil Nadu,Salem,78.17573,11.91458
1915,Tamil Nadu,South Arcot,79.34552,11.82426
1916,Tamil Nadu,Thanjavur,79.42939,10.64944
1917,Tamil Nadu,Tiruchchirappalli,78.67406,10.84702
1918,Tamil Nadu,Tirunelveli Kattabomman,77.73527,8.824955
2001,Tripura,North Tripura,92.10605,24.07953
2002,Tripura,South Tripura,91.62901,23.39953
2003,Tripura,West Tripura,91.47488,23.78826
2101,Uttar Pradesh,Agra,78.22629,27.01426
2102,Uttar Pradesh,Aligarh,78.18518,27.82223
2103,Uttar Pradesh,Allahabad,81.92331,25.39702
2104,Uttar Pradesh,Almora,79.59783,29.80281
2105,Uttar Pradesh,Azamgarh,83.24865,26.14552
2106,Uttar Pradesh,Bahraich,81.57257,27.72301
2107,Uttar Pradesh,Ballia,84.12223,26.07393
2108,Uttar Pradesh,Banda,80.87692,25.35996
2109,Uttar Pradesh,Barabanki,81.40908,26.94083
2110,Uttar Pradesh,Bareilly,79.44803,28.46019
2111,Uttar Pradesh,Basti,82.76234,27.06276
2112,Uttar Pradesh,Bijnor,78.40325,29.33681
2113,Uttar Pradesh,Budaun,78.9657,28.0825
2114,Uttar Pradesh,Bulandshahr,77.91692,28.36566
2115,Uttar Pradesh,Chamoli,79.45102,30.52176
2116,Uttar Pradesh,Dehra Dun,77.96901,30.43319
2117,Uttar Pradesh,Deoria,83.85777,26.75271
2118,Uttar Pradesh,Etah,78.82457,27.60308
2119,Uttar Pradesh,Etawah,79.33713,26.69699
2120,Uttar Pradesh,Faizabad,82.41063,26.57983
2121,Uttar Pradesh,Farrukhabad,79.62186,27.23097
2122,Uttar Pradesh,Fatehpur,80.86762,25.8852
2123,Uttar Pradesh,Garhwal,78.7573,29.87206
2125,Uttar Pradesh,Gazipur,83.64905,25.76195
2126,Uttar Pradesh,Gonda,82.16893,27.28645
2127,Uttar Pradesh,Gorakhpur,83.3609,26.98942
2128,Uttar Pradesh,Hamirpur,79.89588,25.55409
2129,Uttar Pradesh,Hardoi,80.19731,27.34675
2130,Uttar Pradesh,Jalaun,79.47867,26.06702
2131,Uttar Pradesh,Jaunpur,82.65064,25.81658
2132,Uttar Pradesh,Jhansi,78.8513,25.03858
2133,Uttar Pradesh,Kanpur,80.08232,26.41814
2135,Uttar Pradesh,Kheri,80.64904,28.13506
2137,Uttar Pradesh,Lucknow,80.95029,26.88267
2138,Uttar Pradesh,Mainpuri,79.00399,27.18449
2139,Uttar Pradesh,Mathura,77.76358,27.5377
2140,Uttar Pradesh,Meerut,77.6495,28.91963
2141,Uttar Pradesh,Mirzapur,83.0159,24.69676
2142,Uttar Pradesh,Moradabad,78.59632,28.72776
2143,Uttar Pradesh,Muzaffarnagar,77.62041,29.4012
2144,Uttar Pradesh,Nainital,79.46497,29.1798
2145,Uttar Pradesh,Pilibhit,79.97109,28.55042
2146,Uttar Pradesh,Pithoragarh,80.25502,29.98687
2147,Uttar Pradesh,Partapgarh,81.90029,25.9211
2148,Uttar Pradesh,Rae Bareli,81.27522,26.26412
2149,Uttar Pradesh,Rampur,79.12867,28.79305
2150,Uttar Pradesh,Saharanpur,77.74158,29.88239
2151,Uttar Pradesh,Shahjahanpur,79.86499,27.98274
2152,Uttar Pradesh,Sitapur,80.86838,27.53768
2153,Uttar Pradesh,Sultanpur,82.09692,26.31928
2154,Uttar Pradesh,Tehri-Garhwal,78.55446,30.42417
2155,Uttar Pradesh,Unnao,80.59601,26.64781
2156,Uttar Pradesh,Uttarkashi,78.58647,30.9738
2157,Uttar Pradesh,Varanasi,83.09884,25.34741
2201,West Bengal,Bankura,87.1059,23.22557
2202,West Bengal,Barddhaman,87.85541,23.39344
2203,West Bengal,Birbhum (Situri),87.6108,23.95133
2204,West Bengal,Calcutta,88.41185,22.61814
2205,West Bengal,Darjiling,88.37927,26.88174
2206,West Bengal,Haora,88.06169,22.56048
2207,West Bengal,Hugli (Chunchura),88.07543,22.91795
2208,West Bengal,Jalpaiguri,89.07968,26.66806
2209,West Bengal,Koch Bihar,89.3303,26.29888
2210,West Bengal,Maldah,88.05559,25.14756
2211,West Bengal,Medinipur,87.41363,22.32077
2212,West Bengal,Murshidabad,88.18435,24.18442
2213,West Bengal,Nadia (Krishnanagar),88.51215,23.53091
2214,West Bengal,Puruliya,86.3863,23.29494
2215,West Bengal,South 24 Panganas,88.63727,22.34239
2216,West Bengal,West Dinajpur,88.30614,25.68453
2401,Arunachal Pradesh,Dibang Valley (Anni),95.84028,28.75149
2402,Arunachal Pradesh,East Kameng (Seppa),93.12079,27.3023
2403,Arunachal Pradesh,East Siang (Along),95.07734,28.35755
2404,Arunachal Pradesh,Lohit (Teju),96.56206,28.0606
2405,Arunachal Pradesh,Lower Subansiri (Ziro),93.56243,27.73353
2406,Arunachal Pradesh,Tirap,95.56534,27.04495
2407,Arunachal Pradesh,Upper Subansiri (Dap.),93.88006,28.29835
2408,Arunachal Pradesh,West Kameng (Bomdila),92.55014,27.39587
2409,Arunachal Pradesh,West Siang,94.55238,28.57839
2410,Arunachal Pradesh,Tawang,91.98922,27.64015
2411,Arunachal Pradesh,Changlang,96.41532,27.48777
2501,Chandigarh,Chandigarh,76.83608,30.67571
2601,Dadra and Nagar Haveli,Dadra and (Nagar Haveli),73.0616,20.18723
2701,Delhi,Delhi,77.1871,28.57598
2801,Daman and Diu,Daman,72.86535,20.43005
2802,Daman and Diu,Diu,70.70008,20.88121
2803,Goa,North Goa,73.95369,15.51544
2804,Goa,South Goa,74.06832,15.14828
2901,Lakshadweep,Laccadive Islands,73.057,8.274691
3001,Mizoram,Aizawl,92.89076,23.70932
3002,Mizoram,Chhimtuipui,92.86724,22.40766
3003,Mizoram,Lunglei,92.703,22.9762
3101,Pondicherry,Karaikal,79.80477,10.93077
3102,Pondicherry,Mahe,75.54733,11.69224
3103,Pondicherry,Pondicherry,79.75168,11.8931
3104,Pondicherry,Yanam,82.25431,16.65897
3201,Andhra Pradesh,Adilabad,79.20456,19.21883
3202,Andhra Pradesh,Anantapur,77.54757,14.4892
3203,Andhra Pradesh,Chittoor,79.00959,13.47196
3204,Andhra Pradesh,Cuddapah,78.7701,14.46712
3205,Andhra Pradesh,East Godavari,82.04907,17.17943
3206,Andhra Pradesh,Guntur,80.05564,16.19362
3207,Andhra Pradesh,Hyderabad,78.18152,17.29061
3208,Andhra Pradesh,Karimnagar,79.26812,18.54403
3209,Andhra Pradesh,Khammam,80.76366,17.69282
3210,Andhra Pradesh,Krishna,80.79984,16.55104
3211,Andhra Pradesh,Kurnool,78.28736,15.57867
3212,Andhra Pradesh,Mahbubnagar,78.14298,16.49138
3213,Andhra Pradesh,Medak,78.22822,17.88346
3214,Andhra Pradesh,Nalgonda,79.2947,17.05844
3215,Andhra Pradesh,Nellore,79.7123,14.78452
3216,Andhra Pradesh,Nizamabad,78.20703,18.50776
3219,Andhra Pradesh,Srikakulam,83.85448,18.67758
3220,Andhra Pradesh,Vishakhapatnam,82.86278,17.95351
