order,description,y,x,pincode,place,taluka,district,state,name,air,water,land,cepi,codes
42,47 Kathedan (Andhra Pradesh),17.37908,78.47879,500077,Kattedan Ie,Hyderabad,Hyderabad,Andhra Pradesh,Kathedan (Andhra Pradesh),44.5,47,45.5,57.73,An_Wn_Ln
43,48 Korba (Chhattisgarh) *,22.3516717,82.7458283,495677,Korba,Korba,Korba,Chhattisgarh,Korba (Chhattisgarh),67,57,72.5,83,Ac_Ws_Lc
44,49 Kukatpalli (Andhra Pradesh),17.4948034,78.3996341,500072,Kukatpally,Rangareddy,Rangareddy,Andhra Pradesh,Kukatpalli (Andhra Pradesh),41.5,47,43.5,56.56,An_Wn_Ln
46,50 Ludhiana (Punjab),30.9282897,75.8541137,141008,Shivpuri,Ludhiana,Ludhiana,Punjab,Ludhiana (Punjab),68,66,64.75,81.66,Ac_Wc_Lc
47,51 Manali (Tamil Nadu) *,10.80221,79.6884,610203,Manali,Tiruturaipundi,Tiruvarur,Tamil Nadu,Manali (Tamil Nadu),64,59,58,76.32,Ac_Ws_Ls
48,52 Mandi Gobind Garh (Punjab) *,30.4724931,76.4048706,147301,Mandigobindgarh,Rajpura,Patiala,Punjab,Mandi Gobind Garh (Punjab),62,55.5,62,75.08,Ac_Ws_Lc
49,53 Mangalore (Karnataka),15.59715,76.1931,583237,Mangalore,Yelburga,Koppal,Karnataka,Mangalore (Karnataka),61.75,57.75,54,73.68,Ac_Ws_Ls
50,54 Mathura (Uttar Pradesh),27.50895,77.7339,281004,Krishna Nagar,Mathura,Mathura,Uttar Pradesh,Mathura (Uttar Pradesh),48,48,48,59.98,An_Wn_Ln
51,55 Meerut (Uttar Pradesh),29.21344,78.00671,250001,Dabka,Meerut,Meerut,Uttar Pradesh,Meerut (Uttar Pradesh),50,47.5,39.5,59.38,As_Wn_Ln
52,56 Mettur (Tamilnadu),11.3649,78.716,621103,A.Mettur,Veppanthattai,Perambalur,Tamil Nadu,Mettur (Tamilnadu),46,58,46.5,66.98,An_Ws_Ln
53,57 Moradabad (Uttar Pradesh),28.8379255,78.7490039,244001,Moradabad,Moradabad,Moradabad,Uttar Pradesh,Moradabad (Uttar Pradesh),54,49,47.5,64.71,As_Wn_Ln
54,58 Nagda -Ratlam (Madhya Pradesh)*,22.9294383,76.0384829,455111,Nagda,Dewas,Dewas,Madhya Pradesh,Nagda -Ratlam (Madhya Pradesh),44.5,54.5,56,66.67,An_Ws_Ls
55,59 Nashik (Maharashtra),19.9974643,73.7897913,422101,Nashik Road,Nashik,Nashik,Maharashtra,Nashik (Maharashtra),55,57.5,50.25,69.25,As_Ws_Ls
57,60 Navi Mumbai (Maharashtra),19.07936,73.000028,400703,Vashi,Thane,Thane,Maharashtra,Navi Mumbai (Maharashtra),61,59,55.5,73.77,Ac_Ws_Ls
58,62 Noida (Uttar Pradesh),28.5355211,77.3910215,201301,Noida,Noida,Gautam Buddha Nagar,Uttar Pradesh,Noida (Uttar Pradesh),65.75,64,60,78.9,Ac_Wc_Lc
59,63 Pali (Rajasthan) *,25.15905,73.090804,306708,Sindru,Sumerpur,Pali,Rajasthan,Pali (Rajasthan),52,64,52,73.73,As_Wc_Ls
60,64 Panipat (Haryana),29.390012,76.969988,132103,Panipat City,,Panipat,Haryana,Panipat (Haryana),55.75,56.5,59,71.91,As_Ws_Ls
61,65 Paradeep (Orissa),20.3205914,86.5184275,754142,Paradip,Kujang,Jagatsinghapur,Orissa,Paradeep (Orissa),54,58.5,48,69.26,As_Ws_Ln
62,66 Parwanoo (Himachal Pradesh)*,30.903968,77.096935,173220,Parwanoo,Solan,Solan,Himachal Pradesh,Parwanoo (Himachal Pradesh),53,47.5,48.5,63.83,As_Wn_Ln
63,67 Patancheru- -Bollaram (Andhra Pradesh) *,17.531409,78.264991,502319,Sultanpur,Patancheru,Medak,Andhra Pradesh,Patancheru- -Bollaram (Andhra Pradesh),50,59,54,70.07,As_Ws_Ls
64,68 Pimpari-Chinchwad (Maharashtra),18.4921495,73.8615185,412303,Pimpri,Purandar,Pune,Maharashtra,Pimpari-Chinchwad (Maharashtra),55.25,52.5,46,66.06,As_Ws_Ln
65,69 Pinia (Karnataka),13.0063106,77.4974186,560058,Peenya Small Industries,Bangalore North,Bangalore,Karnataka,Pinia (Karnataka),56.75,46,42,65.11,As_Wn_Ln
67,70 Pitampur (Madhya Pradesh),22.600009,75.299991,454775,Pithampur,Dhar,Dhar,Madhya Pradesh,Pitampur (Madhya Pradesh),47.75,54,50.5,65.09,An_Ws_Ls
68,71 Raichur (Karnataka),16.2473904,77.3426264,584101,Raichur,Raichur,Raichur,Karnataka,Raichur (Karnataka),59.75,46.5,44.5,68.07,As_Wn_Ln
69,72 Raipur (Chhatisgarh),21.205135,81.643005,492013,Mathpurena,Raipur,Raipur,Chhattisgarh,Raipur (Chhatisgarh),56.5,42,49,65.45,As_Wn_Ln
70,73 Rajkot (Gujarat),22.1666727,70.9166607,360001,Rajkot,Rajkot,Rajkot,Gujarat,Rajkot (Gujarat),45.5,54.5,55.5,66.76,An_Ws_Ls
71,74 Ramgarh (Jharkhand),23.6283463,85.5210981,829122,Ramgarh Cantt,Ramgarh,Hazaribag,Jharkhand,Ramgarh (Jharkhand),44,53,54.5,65.11,An_Ws_Ls
72,75 Saraikela (Jharkhand),22.8455967,86.0631072,832402,Kandra,Kandra,Seraikela,Jharkhand,Saraikela (Jharkhand),50.5,49,54,65.38,As_Wn_Ls
73,"76 Singhbhum, West (Bihar)",22.2544,85.35055,833213,Gua,Gua,West Singhbhum,Jharkhand,"Singhbhum, West (Bihar)",55.5,51.5,51.5,67.3,As_Ws_Ls
74,77 Singrauli (Uttar Pradesh) *,24.0642788,82.6240259,486886,Waidhan,,Singrauli,Madhya Pradesh,Singrauli (Uttar Pradesh),70.5,64,59.5,81.73,Ac_Wc_Ls
75,78 Surat (Gujarat),21.209667,72.8692581,395006,Varachha Road,Surat,Surat,Gujarat,Surat (Gujarat),46,46.75,45.5,57.9,An_Wn_Ln
76,79 Tarapur (Maharashtra) *,19.8036016,72.7537444,401502,Tarapur,Palghar,Thane,Maharashtra,Tarapur (Maharashtra),60.75,56,51.25,72.01,Ac_Ws_Ls
78,80 Tirupur (Tamil Nadu),11.10675,77.34785,641601,Tirupur,Tirupur,Coimbatore,Tamil Nadu,Tirupur (Tamil Nadu),56.75,50.75,53,68.38,As_Ws_Ls
79,81 Udhamsingh Nagar (Uttarakhand),29.1987079,78.9839665,244713,Kashipur,Kashipur,Udham Singh Nagar,Uttarakhand,Udhamsingh Nagar (Uttarakhand),44,41.25,44.25,54.37,An_Wn_Ln
80,82 Vadodara (Gujarat),22.3430596,73.1902738,390008,Sama,Vadodara,Vadodara,Gujarat,Vadodara (Gujarat),57,48,48,66.91,As_Wn_Ln
81,83 Vapi (Gujarat) *,20.4950658,72.9017563,396191,Vapi,Pardi,Valsad,Gujarat,Vapi (Gujarat),74,74.5,72,88.09,Ac_Wc_Lc
82,84 Varansi-Mirzapur (Uttar Pradesh),25.1305718,83.034788,231302,Adalhat,Mirzapur Sadar,Mirzapur,Uttar Pradesh,Varansi-Mirzapur (Uttar Pradesh),58,62,53.5,73.79,As_Wc_Ls
83,85 Vatva (Gujarat),23.09615,72.81665,382440,Vatva,Dascroi,Ahmedabad,Gujarat,Vatva (Gujarat),60,62,56,74.77,Ac_Wc_Ls
84,86 Vellore (North Arcot) (Tamil Nadu) *,12.9086275,79.0638549,632001,Vellore,Vellore,Vellore,Tamil Nadu,Vellore (North Arcot) (Tamil Nadu),69.25,65.25,62.5,81.79,Ac_Wc_Lc
85,87 Vijaywada (Andhra Pradesh),16.6028489,80.3101584,520001,Vijayawada,Krishna,Krishna,Andhra Pradesh,Vijaywada (Andhra Pradesh),52,41.5,43,60.57,As_Wn_Ln
86,88 Vishakhapatnam (Andhra Pradesh) *,17.700008,83.216692,530026,Gajuwaka,Visakhapatnam,Visakhapatnam,Andhra Pradesh,Vishakhapatnam (Andhra Pradesh),57,57.5,55,70.82,As_Ws_Ls
,"61. Nazafgarh drain basin (including Anand Parvat, Naraina, Okhla and Wazirpur), Delhi *",28.60696,76.990477,110043,Najafgarh,,South West Delhi,Delhi,,52.13,69,65.25,79.54,As_Wc_Lc
